URL,Title,Neighborhood,Price,Built Area,Land Area,Bedrooms,Bathrooms,Garage,Stratum,Year Built,Administration Fee,Property Type,Business Type,Status,Extraction Date,Error,Property_Category,Project_Units,Is_Project,Price_Label,Has_Individual_Units,Project_Parent,Project_Name,Is_Project_Unit
https://www.properati.com.co/detalle/14032-32-f95b-a9eaab0f36cf-19a266f-b932-73f4,Casa en venta en Tabio,"Tabio, Cundinamarca",$ 3.200.000.000,510 m²,3.200 m²,6,8,N/A,5,2021,N/A,Casa,Venta,N/A,2025-11-21 21:55,,Construcción,,,,,,,
https://www.properati.com.co/detalle/14032-32-908-3ca49727be1b-19a5c01-8f03-73be,Lote en venta en Viterbo,"Viterbo, Caldas",$ 120.000.000,N/A,90 m²,N/A,N/A,N/A,5,Plazo,N/A,Lote,Venta,N/A,2025-11-21 21:55,,Lote/Terreno,,,,,,,
https://www.properati.com.co/detalle/14032-32-eb03-952cfcf34187-19a31be-8d62-787d,Finca en venta en Pereira,"Pereira, Risaralda",$ 650.000.000,100 m²,N/A,N/A,N/A,2,3,Plazo,N/A,Finca,Venta,N/A,2025-11-21 21:55,,Lote/Terreno,,,,,,,
https://www.properati.com.co/detalle/14032-32-22db-2b8ba2be161c-19a2671-bfa9-77ca,Casa en venta en Tenjo,"Tenjo, Cundinamarca",$ 2.550.000.000,400 m²,6.400 m²,3,5,5,4,2021,N/A,Casa,Venta,N/A,2025-11-21 21:55,,Construcción,,,,,,,
https://www.properati.com.co/detalle/14032-32-d24e-60f73063f89b-19a266c-9ddf-7d8d,Casa en venta en Chía,"Chía, Cundinamarca",$ 1.600.000.000,207 m²,1.614 m²,4,5,30,6,2021,N/A,Casa,Venta,N/A,2025-11-21 21:55,,Construcción,,,,,,,
https://www.properati.com.co/detalle/14032-32-f50b-618cbe4c390a-19a266c-a3bc-7998,Finca en venta en Tabio,"Tabio, Cundinamarca",$ 2.250.000.000,520 m²,18.000 m²,N/A,N/A,3,4,2021,N/A,Finca,Venta,N/A,2025-11-21 21:56,,Lote/Terreno,,,,,,,
https://www.properati.com.co/proyecto/14032-32-e809-7415bbf0f6cb-59c44f0b-987b-4ee5,MAVA 92 BOGOTA,"El Chicó, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",$ 397.868.400,26-113 m2 área construida,26-113 m2 área total,1-2 habitaciones,1-2 baños,N/A,N/A,N/A,N/A,Proyecto,Arriendo,N/A,2025-11-21 21:56,,,8 unidades,Sí,Desde,Sí,,,
https://www.properati.com.co/detalle/14032-32-1a79-eecc961ef8ab-19a1897-8aba-7346,Apartamento en venta en El Chicó,"El Chicó, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",$ 397.868.400,26 m²,N/A,1,1,N/A,N/A,Plazo,N/A,Apartamento,Venta,N/A,2025-11-21 21:56,,Construcción,,,,,https://www.properati.com.co/proyecto/14032-32-e809-7415bbf0f6cb-59c44f0b-987b-4ee5,MAVA 92 BOGOTA,Sí
https://www.properati.com.co/detalle/14032-32-c095-def43afa8a3f-19a181d-9e8d-712d,Apartamento en venta en El Chicó,"El Chicó, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",$ 1.532.320.000,113 m²,N/A,2,2,N/A,N/A,Plazo,N/A,Apartamento,Venta,N/A,2025-11-21 21:56,,Construcción,,,,,https://www.properati.com.co/proyecto/14032-32-e809-7415bbf0f6cb-59c44f0b-987b-4ee5,MAVA 92 BOGOTA,Sí
https://www.properati.com.co/detalle/14032-32-9b2e-8faeea0e4d90-19a1817-908c-73df,Apartamento en venta en El Chicó,"El Chicó, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",$ 622.633.700,41 m²,N/A,1,1,N/A,N/A,Plazo,N/A,Apartamento,Venta,N/A,2025-11-21 21:56,,Construcción,,,,,https://www.properati.com.co/proyecto/14032-32-e809-7415bbf0f6cb-59c44f0b-987b-4ee5,MAVA 92 BOGOTA,Sí
