URL,Title,Neighborhood,Price,Built Area,Land Area,Bedrooms,Bathrooms,Half Bathrooms,Garage,Stratum,Year Built,Floor Level,Administration Fee,Property Type,Business Type,Status,Extraction Date,Error,Property_Category,Description,Features,Features_Count,Project_Units,Is_Project,Price_Label,Has_Individual_Units,Project_Parent,Project_Name,Is_Project_Unit
https://www.properati.com.co/detalle/14032-32-d7d6-5b77e09f8778-19a6171-a230-70c9,Lote en venta en Viterbo,"Viterbo, Caldas",$ 290.000.000,N/A,2.523 m²,N/A,N/A,N/A,1,4,Plazo,N/A,N/A,Lote,Venta,N/A,2025-11-21 22:59,,Lote/Terreno,"INFVer teléfonoWhatsappSE VENDE LOTE EN UNIDAD RESIDENCIAL, DONDE LA TRANQUILIAD PREDOMINA, EL DESPERTAR CON LOS PAJARITOS HARA DE SU VIVA UNA NUEVA AVENTURA CONTACTANOS PARA CONTARTE DE LA EMOCION DE VIVIR EN VITERBO","Parqueadero, Electricidad, Seguridad privada",3,,,,,,,
https://www.properati.com.co/detalle/14032-32-b7d7-1f065595866-19a3662-9f22-756c,Finca en venta en Tabio,"Tabio, Cundinamarca",$ 1.320.000.000,356 m²,N/A,N/A,N/A,N/A,1,N/A,1998,N/A,N/A,Finca,Venta,N/A,2025-11-21 23:00,,Lote/Terreno,"¡Hola! 🌿 Te comparto información de una hermosa casa campestre con vista privilegiada al valle de Tabio, ubicada en un exclusivo conjunto familiar privado a tan solo 1.5 km del pueblo: 🏡 Precio de venta: $1.320.000.000 COP 📐 Área construida: 356 m² 🌳 Lote privado: 3.000 m² 🛏 3 habitaciones | 🚿 2 baños + baño social 🔥 Horno de leña ideal para los mejores BBQ 👨‍👩‍👧 Conjunto con zona especial para niños: casa de juegos 🌸 Jardines maduros con más de 10 años, llenos de vida y aves 🚗 Acceso con placa huella, para que cualquier vehículo llegue fácilmente 🏞 Vista directa al Peñón de Juaica — la casa está justo en su falda Una propiedad rodeada de naturaleza, tranquilidad y un ambiente familiar incomparable 🌅 📲 Si deseas más información o agendar una visita, puedes comunicarte alVer teléfonoWhatsapp.","Parqueadero, Jacuzzi, Patio, Agua, Terraza, Cocina integral, Vista panorámica, Estudio, Electricidad, Área infantil, Asador, Jardín, Avenidas principales, Colegios",14,,,,,,,
https://www.properati.com.co/detalle/14032-32-1e14-d458a5f45457-19a2672-ac4b-7b23,Casa en venta en Tabio,"Tabio, Cundinamarca",$ 1.950.000.000,450 m²,8.000 m²,4,3,N/A,1,4,2021,N/A,N/A,Casa,Venta,N/A,2025-11-21 23:00,,Construcción,"Vendo Hermosa Casa Moderna en Tabio Rio Frio Oriental, a solo 5.5 kilómetros desde el Caí, subiendo 1.4 kilómetros por vía destapada de fácil acceso para cualquier vehículo. Área Total de Terreno: 8.000mts (Topografia Mixta) Área Construida: 450 mts (2 Niveles) Primer Piso: Amplia sala-comedor con ventanales que conectan a una terraza externa abierta, Cocina integral equipada con torre de hornos y lavavajillas, Comedor auxiliar con salida al área de BBQ, Patio de ropas, 2 Habitaciones, Baño social, Habitación de servicio con baño, Estudio, Sala de estar. Segundo Piso: Gimnasio que conecta con una terraza, hall de habitaciones, Habitación principal con dos terrazas, baño amplio con jacuzzi y vestier, con calefacción por infrarrojo (IR radian), calentador a gas. Tercer Piso: Terraza que cuenta con una maravillosa vista panorámica de 360° ideal para disfrutar del hermoso paisaje que ofrece el municipio de Tabio Características adicionales: Lago artificial alimentado por las aguas lluvias Área de BBQ Parqueadero cubierto para 3 carros Portada Eléctrica Entrada 100% adoquinada Jardines Romboy vehicular Cámaras de seguridad perimetrales (Tapo Smart) Videoportero de diez vías con acceso y control vía wifi desde dispositivos móviles Acueducto veredal y agua de nacedero que surte la zona Gas propano, Energia 3 bodegas Tanque de gas de 400 Litros Tanque de agua de 5000 Litros","Parqueadero, Cocina integral, Vista panorámica, Agua, Internet, Jacuzzi, Cuarto de servicio, Electricidad, Jardín",9,,,,,,,
https://www.properati.com.co/detalle/14032-32-6b92-57f9fc8e1436-19a2670-9779-7494,Casa en venta en Tenjo,"Tenjo, Cundinamarca",$ 2.600.000.000,500 m²,6.570 m²,6,8,N/A,1,3,2021,N/A,N/A,Casa,Venta,N/A,2025-11-21 23:00,,Construcción,"Vendo Hermosa Casa en Tenjo Km. 7 la punta vereda Carrasquilla Área Terreno: 6570 Mts Área Construida: 500Mts Terrazas: 350Mts Baños y cocina exterior: 156Mts Casa Administrador: 88mts Consta de: Primer piso: Salon, estudio, comedor, cocina con isla central, cuarto de servicio, lavanderia, hall de alcobas, 3 alcobas con baño. Segundo piso: Cuarto principal, sala de estar, baño con Jacuzzi, 2 vestidores, cuarto de ejercicio. Áreas exteriores: 2 cuartos de herramienta, 4 baños, cocina, terrazas, horno de leña.","Parqueadero, Vista panorámica, Bodega, Jacuzzi, Cuarto de servicio, Jardín, Asador, Colegios",8,,,,,,,
https://www.properati.com.co/detalle/14032-32-83e4-80eb512e0b8c-19a7f58-9c8e-70b6,Apartamento en venta en Pereira,"Pereira, Risaralda",$ 235.000.000,45 m²,N/A,2,1,N/A,N/A,4,2022,18,N/A,Apartamento,Venta,N/A,2025-11-21 23:00,,Construcción,"INFVer teléfonoWhatsappSE VENDE APARTAMENTO DE 2 HABITACIONES , 1 BAÑO, PARQUEADERO COMUNAL, 2 ASCENSORES, CANCHAS MULTIPLES, BBQ, CALENTADR, CLOSET EN LAS HABITACIONES, ESTRATO 3 Y 4 CONTACTAME , CONVIERTE SU SUEÑO EN REALIDAD Y DESPIERTA CON EL CANTAR DE LOS PAJARITOS","Gas natural, Gimnasio, Ascensor, Asador, Área infantil, Jardín",6,,,,,,,
https://www.properati.com.co/detalle/14032-32-eb03-952cfcf34187-19a31be-8d62-787d,Finca en venta en Pereira,"Pereira, Risaralda",$ 650.000.000,100 m²,N/A,N/A,N/A,N/A,1,3,Plazo,N/A,N/A,Finca,Venta,N/A,2025-11-21 23:00,,Lote/Terreno,"Está cabaña consta de 2 alcobas ambas con baño privado, las 2 divisiones de baño en vidrio templado de 8 mm. Sala comedor y la habitación cerrado con Alumino monumental y vidrio de 6 mm . Prados y jardines . Cerramiento en Eugenias , siete cueros y variedad de plantas . Pozo séptico con todas las normas ambientales y con plancha de 3 * 2 metros cubriéndolo. Agua de acueducto. Energía de pereira . Gas pipa por ahora , el gas domiciliario , pasa por la entrada a la finca,lo puede instalar cuando quiera , Parqueadero para 8 vehículos. Puerta de acero en la entrada a La finca . Tiene la zona de ropas y bodega pequeña para las herramientas, Arboles frutales produciendo , Plátano, banano, aguacate, mandarina , limón , guayaba, chirimoya, mango, y árboles ornamentales, guayacan amarillo, acacia amarilla , tulipán rojo , azúcenos blancos , La panorámica es excelente . Área del lote 1000 m2 . Está cerca a la variante Condina exactamente al frente de la estación de gasolina nueva, pero por la vía veredal y por esta vía pasan las busetas urbanas , cerca escuelas iglesia tiendas etc , de la vereda MONTELARGO. escritura en pro indiviso","Parqueadero, Cocina integral, Balcón, Agua, Colegios",5,,,,,,,
https://www.properati.com.co/detalle/14032-32-8cf6-9854cc9bea74-19a2670-c00a-77e6,Finca en venta en Chía,"Chía, Cundinamarca",$ 3.500.000.000,460 m²,10.200 m²,N/A,N/A,N/A,1,3,2021,N/A,N/A,Finca,Venta,N/A,2025-11-21 23:00,,Lote/Terreno,"Finca rústica en venta en Chía – 1 hectárea con alto potencial de desarrollo. Ubicada en zona rural tranquila y rodeada de naturaleza 🌳, Cuenta con una zona social externa, 10 caballerizas, 2 gimnasios para caballos , oficina independiente y lote adicional. ✅ Suelo agropecuario rural con uso permitido para vivienda o proyectos institucionales (salud, educación, vivienda senior). Con 4.346 m² aprovechables. Sin afectaciones ambientales, plusvalía ni cesiones tipo A. – sin restricciones de construcción. 💧 Servicios públicos (agua 🚰, luz ⚡, aseo 🧹 y alcantarillado), con conexión directa a la red matriz. Incluye estudios de topografía, urbanismo y proyecto institucional . 🌟 Ideal para vivir con tranquilidad o desarrollar un proyecto inmobiliario en una de las zonas más valorizadas de Cundinamarca.","Parqueadero, Vista panorámica, Gas natural, Estudio, Electricidad, Internet, Patio, Chimenea, Agua, Área infantil, Asador, Jardín",12,,,,,,,
https://www.properati.com.co/detalle/14032-32-f50b-618cbe4c390a-19a266c-a3bc-7998,Finca en venta en Tabio,"Tabio, Cundinamarca",$ 2.250.000.000,520 m²,18.000 m²,N/A,N/A,N/A,1,4,2021,N/A,N/A,Finca,Venta,N/A,2025-11-21 23:00,,Lote/Terreno,"Hermosa Finca Ubicada Subachoque Vereda Llanitos Centro, a solo 3 kilometros del parque principal de Subachoque Área Total de Terreno: 18000mts Casa moderna bioclimática de 2 niveles diseñada por el arquitecto bogotano RAFAEL ESCANDÓN con amplia trayectoria en construcción en la sabana de Bogotá de viviendas campestres exclusivas. Su estructura aporticada libre de muros de carga permite, si se desea, cualquier rediseño y/o ampliación. Sus dos amplias fachadas reciben el sol, por su transparencia cenital, por una ligera elevación sobre el terreno, por el espesor de sus muros externos y por la placa en la cubierta, goza de una confortable temperatura día y noche. En la zona social y en el área familiar posee una altura libre de 3.2 mts con ventanas piso-techo que como cuadros le permiten disfrutar la belleza de una pintura natural con agradable y relajante paisaje que ofrece en sus 360°. Podrá realizar sus paseos diarios por los 5.000 metros de prado arborizado circunscrito por una muralla verde natural de 2.2 mts de altura para total privacidad. La Casa principal cuenta con un área total de 390 mts2, con áreas todas generosas en espacios, luz natural y vista. Al entrar encuentra un recibidor, 2 salas cada una con su chimenea tradicional, un comedor independiente, un hall social amplio, guardarropa y baño social. En el área privada: hall, 3 alcobas amplias con baño en suite y closet, en el principal jacuzzi, walk in closet y romántica chimenea. Complementa esta zona un estudio-biblioteca y una sala de televisión individualizados por gran chimenea que sirve a ambos espacios. En la zona de servicio, puerta al exterior, pasillo de acceso, lavandería amplia con luz y ventilación natural y lavadora; cocina con isla, estufa, extractor, lavavajillas, nevera y comedor auxiliar, abierta a amplia sala familiar con televisor 4K de 50"" por la cual se accede a deck solarium de 40 mts2. Adicional e independiente a casa principal, encontramos casa de 50 mts2 multipropósito (huéspedes o gimnasio o pasatiempos o mayordomo); garaje paralelo cubierto para 3 vehículos y depósito 30 mts2. Construcción total 520 metros2 La vivienda goza de todos los servicios públicos: agua potable con tanque de 12.000 litros y 2 equipos hidroneumáticos, tanque de gas propano de 500 kg, energía eléctrica a 120 y 240 voltios, buen internet disponible. Alarma. Piso laminado europeo en zona privada; mármol italiano en zona de servicio, mesones en granito natural; pizarra natural negra en zona social; Grifería y sanitaria alemana - Franz Viegener. Mobiliario disponible para la venta.","Parqueadero, Jacuzzi, Cocina integral, Vista panorámica, Jardín",5,,,,,,,
https://www.properati.com.co/detalle/14032-32-ceb-a3d67e88ba59-19a266f-9c92-7594,Casa en venta en Tabio,"Tabio, Cundinamarca",$ 1.200.000.000,112 m²,46.640 m²,2,2,N/A,1,3,2021,N/A,N/A,Casa,Venta,N/A,2025-11-21 23:00,,Construcción,"Vendo Finca en Tabio Vereda Salitre: ¡Un Paraíso natural muy cerca del Parque de Tabio! Ubicación - Distancia Ideal: A solo 6 kilómetros del parque de Tabio. - Acceso Sencillo: Vía pavimentada hasta el último kilómetro, que es de camino destapado, apto para cualquier vehículo. Características del Terreno - Área Total: 46.640 m² (equivalente a 7 fanegadas). -Topografia: Zonas planas e inclinadas Entorno Natural: Rodeado de un frondoso bosque de eucaliptos, ofreciendo un ambiente de paz y tranquilidad inigualable. Construcción - Área Construida: 112 m² de diseño modular. -Estructura Robusta: Construida con una estructura de acero y muros prefabricados termoacústicos, que garantizan comodidad y eficiencia energética. - Acabados de Lujo: Detalles interiores en madera que aportan calidez y elegancia. Distribución Interior - Espacios Amplios y Luminosos: Ventanales grandes que permiten disfrutar de una vista panorámica espectacular. - Sala Acogedora: Con chimenea, perfecta para las noches frescas. - Comedor y Cocina Integral: Espacios diseñados para la convivencia y el disfrute. - Comodidad en Habitaciones: Dos habitaciones, cada una con su baño privado. - Área de Servicios: Patio de ropas funcional y práctico. ¡No pierda la oportunidad de adquirir esta joya inmobiliaria en un entorno natural privilegiado! Contacte con nosotros para más detalles y agendar una visita.","Parqueadero, Vista panorámica, Agua, Cocina integral, Chimenea, Electricidad",6,,,,,,,
https://www.properati.com.co/proyecto/14032-32-bcc0-22dec8f9dab0-379cfd47-b927-458d,QUINTAS DE LA VITRINA - LOTES,"Cartago, Valle del Cauca",$ 165.000.000,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,,N/A,Proyecto,Arriendo,N/A,2025-11-21 23:00,,,,,,6 unidades,Sí,Desde,Sí,,,
https://www.properati.com.co/detalle/14032-32-92a9-a412eb89f0fc-19a1201-bc3f-73bc,Lote en venta en Cartago,"Cartago, Valle del Cauca",$ 165.000.000,N/A,785 m²,N/A,N/A,,N/A,N/A,Plazo,,N/A,Lote,Venta,N/A,2025-11-21 23:00,,Lote/Terreno,,,,,,,,https://www.properati.com.co/proyecto/14032-32-bcc0-22dec8f9dab0-379cfd47-b927-458d,QUINTAS DE LA VITRINA - LOTES,Sí
https://www.properati.com.co/detalle/14032-32-114c-88d8c95d9924-19a1201-8f81-7599,Lote en venta en Cartago,"Cartago, Valle del Cauca",$ 239.698.800,N/A,1.089 m²,N/A,N/A,,N/A,N/A,Plazo,,N/A,Lote,Venta,N/A,2025-11-21 23:00,,Lote/Terreno,,,,,,,,https://www.properati.com.co/proyecto/14032-32-bcc0-22dec8f9dab0-379cfd47-b927-458d,QUINTAS DE LA VITRINA - LOTES,Sí
https://www.properati.com.co/detalle/14032-32-7d26-a5432a4cf382-19a1200-859a-72ea,Lote en venta en Cartago,"Cartago, Valle del Cauca",$ 257.250.400,N/A,1.169 m²,N/A,N/A,,N/A,N/A,Plazo,,N/A,Lote,Venta,N/A,2025-11-21 23:00,,Lote/Terreno,,,,,,,,https://www.properati.com.co/proyecto/14032-32-bcc0-22dec8f9dab0-379cfd47-b927-458d,QUINTAS DE LA VITRINA - LOTES,Sí
https://www.properati.com.co/detalle/14032-32-daa3-7ab7172001d4-19a11ff-8da2-76cb,Lote en venta en Cartago,"Cartago, Valle del Cauca",$ 196.686.450,N/A,1.063 m²,N/A,N/A,,N/A,N/A,Plazo,,N/A,Lote,Venta,N/A,2025-11-21 23:00,,Lote/Terreno,,,,,,,,https://www.properati.com.co/proyecto/14032-32-bcc0-22dec8f9dab0-379cfd47-b927-458d,QUINTAS DE LA VITRINA - LOTES,Sí
https://www.properati.com.co/detalle/14032-32-5194-c51aa1f2c969-19a11ff-bb76-77ff,Lote en venta en Cartago,"Cartago, Valle del Cauca",$ 255.000.000,N/A,1.063 m²,N/A,N/A,,N/A,N/A,Plazo,,N/A,Lote,Venta,N/A,2025-11-21 23:01,,Lote/Terreno,,,,,,,,https://www.properati.com.co/proyecto/14032-32-bcc0-22dec8f9dab0-379cfd47-b927-458d,QUINTAS DE LA VITRINA - LOTES,Sí
https://www.properati.com.co/detalle/14032-32-e06-af0d6ac0b495-19a11fe-b9ef-720d,Lote en venta en Cartago,"Cartago, Valle del Cauca",$ 285.000.000,N/A,1.164 m²,N/A,N/A,,N/A,N/A,Plazo,,N/A,Lote,Venta,N/A,2025-11-21 23:01,,Lote/Terreno,,,,,,,,https://www.properati.com.co/proyecto/14032-32-bcc0-22dec8f9dab0-379cfd47-b927-458d,QUINTAS DE LA VITRINA - LOTES,Sí
https://www.properati.com.co/detalle/14032-32-75cd-68fef0501176-19a2670-a125-7d92,Casa en venta en Tenjo,"Tenjo, Cundinamarca",$ 1.680.000.000,360 m²,2.200 m²,4,5,N/A,1,5,2021,N/A,$ 668.000,Casa,Venta,N/A,2025-11-21 23:01,,Construcción,"Vendo Hermosa Casa a solo 4.6 kilómetros del parque principal de Tenjo y ubicada cerca a la vía principal Tenjo-Siberia Condominio Campestre El Juncal el cual cuenta con 22 lotes de 2200 m2, 7 casas construidas, seguridad 24 horas, cámaras de video, iluminación, cerramiento en Eugenias y cerramiento exterior en reja, Vías adoquinadas, planta de tratamiento de aguas residuales. La Casa cuenta con 360 m2 construidos que constan de: Sala, Comedor con amplios espacios, Cocina integral con isla, Baño social, Habitación principal amplia con baño y vestier, 3 Habitaciones con baño privado y closet. Amplia zona verde, BBQ, Parqueadero cubierto para 2 carros, Canales de agua lluvias","Parqueadero, Vista panorámica, Cocina integral, Chimenea, Jardín, Asador, Colegios, Avenidas principales",8,,,,,,,
https://www.properati.com.co/detalle/14032-32-d24e-60f73063f89b-19a266c-9ddf-7d8d,Casa en venta en Chía,"Chía, Cundinamarca",$ 1.600.000.000,207 m²,1.614 m²,4,5,N/A,1,6,2021,N/A,N/A,Casa,Venta,N/A,2025-11-21 23:01,,Construcción,"En venta, a 30 minutos de Bogotá – En Encenillos de Sindamanoy, uno de los mejores conjuntos de la sabana Vive rodeado de naturaleza en uno de los lugares más exclusivos cerca de Bogotá. Esta casa cuenta con 1614m² de lote privado, y un area cosntruida de 207m² 4 habitaciones,5 Baños, 1 estudio, zona social y 2 parqueaderos, excelente vista y todo el confort que buscas. La casa está ubicada en un entorno natural privilegiado, con acceso pavimentado y cercanía a colegios, universidades, centros comerciales y supermercados. La urbanización ofrece vigilancia 24/7, circuito cerrado de TV, y zonas infantiles y deportivas. Además, cuenta con bosque nativo, cancha de baloncesto y tenis. Todo en uno de los condominios más exclusivos de la sabana de Bogotá, ideal para vivir con comodidad y tranquilidad. Seguridad, tranquilidad, diseño y ubicación privilegiada. Naturaleza, exclusividad y calidad de vida, a minutos de la ciudad. 💲1,600,000,000 📲 Contáctanos y agenda tu visitaVer teléfono. ¡Te va a enamorar!","Parqueadero, Vista panorámica, Chimenea, Balcón, Cuarto de servicio, Seguridad privada, Cancha de tenis, Jardín",8,,,,,,,
https://www.properati.com.co/detalle/14032-32-26c0-f800989021cf-19a2678-af51-74e1,Casa en venta en Tenjo,"Tenjo, Cundinamarca",$ 3.500.000.000,700 m²,1.380 m²,5,6,N/A,1,2,2021,N/A,N/A,Casa,Venta,N/A,2025-11-21 23:01,,Construcción,"🌿 ¡Vive rodeado de tranquilidad y comodidad! Esta hermosa propiedad de 1.380 m² de terreno y 700 m² construidos combina lo mejor del campo con el confort moderno. Ubicada en estrato 2 rural, te ofrece servicios muy económicos, incluyendo gas natural y un predial anual de solo $300.000. ✨ El terreno está completamente cerrada con reja metálica y cuenta con: 🔹 4 habitaciones, todas con baño privado, dos con vestier 🔹 Cuarto de servicio con baño 🔹 6 baños en total 🔹 Estudio + sala de TV 🔹 Sala y comedor independientes 🔹 Zona de lavandería independiente 🔹 2 depósitos 🔹 Parqueadero para 4 carros cubiertos y hasta 10 descubiertos 🔹 Zona BBQ con asador y mueble de cocina 🔹 Jardines exteriores e interiores 🔹 Puerta eléctrica para mayor seguridad Además, cuenta con una cabaña totalmente independiente, ideal para visitas o renta: Primer piso: cocineta, sala pequeña y baño con ducha Segundo piso: amplia habitación con balcones Más de la mitad del terreno colinda con el colegio Ubamux, brindando un entorno tranquilo y con fácil acceso. Una oportunidad única para quienes buscan espacio, naturaleza, independencia y economía. ¡Ven a conocerla! 🌳✨","Parqueadero, Vista panorámica, Bodega, Balcón, Cuarto de servicio, Gimnasio, Asador, Jardín, Colegios",9,,,,,,,
https://www.properati.com.co/detalle/14032-32-95b0-8681bfbeaf89-19a2673-a2e0-740f,Finca en venta en Tabio,"Tabio, Cundinamarca",$ 3.250.000.000,520 m²,53.475 m²,N/A,N/A,N/A,1,4,2021,N/A,N/A,Finca,Venta,N/A,2025-11-21 23:01,,Lote/Terreno,"Hermosa Finca Ubicada Subachoque Vereda Llanitos Centro, a solo 3 kilometros del parque principal de Subachoque Área Total de Terreno: 53.475 mts (8.2 Fanegadas) Casa moderna bioclimática de 2 niveles diseñada por el arquitecto bogotano RAFAEL ESCANDÓN con amplia trayectoria en construcción en la sabana de Bogotá de viviendas campestres exclusivas. Su estructura aporticada libre de muros de carga permite, si se desea, cualquier rediseño y/o ampliación. Sus dos amplias fachadas reciben el sol, por su transparencia cenital, por una ligera elevación sobre el terreno, por el espesor de sus muros externos y por la placa en la cubierta, goza de una confortable temperatura día y noche. En la zona social y en el área familiar posee una altura libre de 3.2 mts con ventanas piso-techo que como cuadros le permiten disfrutar la belleza de una pintura natural con agradable y relajante paisaje que ofrece en sus 360°. Podrá realizar sus paseos diarios por los 5.000 metros de prado arborizado circunscrito por una muralla verde natural de 2.2 mts de altura para total privacidad. La Casa principal cuenta con un área total de 390 mts2, con áreas todas generosas en espacios, luz natural y vista. Al entrar encuentra un recibidor, 2 salas cada una con su chimenea tradicional, un comedor independiente, un hall social amplio, guardarropa y baño social. En el área privada: hall, 3 alcobas amplias con baño en suite y closet, en el principal jacuzzi, walk in closet y romántica chimenea. Complementa esta zona un estudio-biblioteca y una sala de televisión individualizados por gran chimenea que sirve a ambos espacios. En la zona de servicio, puerta al exterior, pasillo de acceso, lavandería amplia con luz y ventilación natural y lavadora; cocina con isla, estufa, extractor, lavavajillas, nevera y comedor auxiliar, abierta a amplia sala familiar con televisor 4K de 50"" por la cual se accede a deck solarium de 40 mts2. Adicional e independiente a casa principal, encontramos casa de 50 mts2 multipropósito (huéspedes o gimnasio o pasatiempos o mayordomo); garaje paralelo cubierto para 3 vehículos y depósito 30 mts2. Construcción total 520 metros2 La vivienda goza de todos los servicios públicos: agua potable con tanque de 12.000 litros y 2 equipos hidroneumáticos, tanque de gas propano de 500 kg, energía eléctrica a 120 y 240 voltios, buen internet disponible. Alarma. Piso laminado europeo en zona privada; mármol italiano en zona de servicio, mesones en granito natural; pizarra natural negra en zona social; Grifería y sanitaria alemana - Franz Viegener. Mobiliario disponible para la venta.","Parqueadero, Jacuzzi, Cocina integral, Vista panorámica, Jardín",5,,,,,,,
https://www.properati.com.co/detalle/14032-32-431e-11352ce97703-19a5c59-8f78-754a,Casa en venta en Pereira,"Pereira, Risaralda",$ 410.000.000,N/A,N/A,4,2,N/A,1,4,Plazo,N/A,N/A,Casa,Venta,N/A,2025-11-21 23:01,,Construcción,"infVer teléfonoWhatsappSe vende casa en villa verde, pereira, 4 habitaciones y zona de parqueo,","Parqueadero, Cocina integral, Gas natural, Balcón, Patio, Terraza, Acceso para personas con discapacidad, Avenidas principales, Colegios, Parques",10,,,,,,,
